City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Christchurch,NZ,2021-03-26 03:42:53,-43.5333,172.6333,294.15,64,99,5.66
1,Fortuna,US,2021-03-26 03:42:55,40.5982,-124.1573,282.04,76,90,7.72
2,Umm Lajj,SA,2021-03-26 03:42:56,25.0213,37.2685,292.65,48,0,5.64
3,Chara,RU,2021-03-26 03:42:57,56.9064,118.2631,267.96,81,100,0.78
4,Mataura,NZ,2021-03-26 03:42:57,-46.1927,168.8643,290.93,78,100,3.13
5,Krasnyy Chikoy,RU,2021-03-26 03:42:58,50.3643,108.7512,276.06,62,34,2.87
6,Fairbanks,US,2021-03-26 03:38:12,64.8378,-147.7164,271.15,68,40,4.63
7,Axim,GH,2021-03-26 03:42:59,4.8699,-2.2405,298.18,82,63,1.87
8,Qaanaaq,GL,2021-03-26 03:42:59,77.484,-69.3632,244.22,56,35,4.12
9,Khatanga,RU,2021-03-26 03:43:00,71.9667,102.5,257.9,87,77,0.96
10,Quelimane,MZ,2021-03-26 03:39:10,-17.8786,36.8883,295.15,100,20,1.63
11,Dikson,RU,2021-03-26 03:43:01,73.5069,80.5464,261.14,92,99,2.03
12,Punta Arenas,CL,2021-03-26 03:43:01,-53.15,-70.9167,281.15,71,0,20.06
13,Cherskiy,RU,2021-03-26 03:38:43,68.75,161.3,251.56,89,94,1.56
14,Jamestown,US,2021-03-26 03:40:56,42.097,-79.2353,288.71,88,90,4.76
15,Saldanha,ZA,2021-03-26 03:43:02,-33.0117,17.9442,291.15,88,70,3.09
16,Yellowknife,CA,2021-03-26 03:40:55,62.456,-114.3525,254.26,71,20,2.57
17,Kruisfontein,ZA,2021-03-26 03:43:03,-34.0033,24.7314,288.71,92,3,0.45
18,Rikitea,PF,2021-03-26 03:43:04,-23.1203,-134.9692,299.79,72,100,8.83
19,Ushuaia,AR,2021-03-26 03:43:05,-54.8,-68.3,279.15,70,75,7.72
20,Srednekolymsk,RU,2021-03-26 03:43:06,67.45,153.6833,254.31,79,100,3.63
21,Albany,US,2021-03-26 03:43:06,42.6001,-73.9662,290.37,79,100,0.89
22,Lebu,CL,2021-03-26 03:43:07,-37.6167,-73.65,284.44,86,2,5.26
23,Bathsheba,BB,2021-03-26 03:43:07,13.2167,-59.5167,298.15,65,40,9.26
24,Maputo,MZ,2021-03-26 03:39:29,-25.9653,32.5892,296.48,88,75,1.03
25,Bontang,ID,2021-03-26 03:43:08,0.1333,117.5,303.34,62,100,1.84
26,Abadan,IR,2021-03-26 03:43:09,30.3392,48.3043,292.15,55,0,3.09
27,Belaya Gora,RU,2021-03-26 03:38:54,68.5333,146.4167,252.19,85,83,1.29
28,Butaritari,KI,2021-03-26 03:43:10,3.0707,172.7902,300.5,78,87,6.24
29,Margate,GB,2021-03-26 03:43:10,51.3813,1.3862,282.59,79,57,0.89
30,Avarua,CK,2021-03-26 03:43:10,-21.2078,-159.775,302.15,74,20,8.75
31,Nikolskoye,RU,2021-03-26 03:43:11,59.7035,30.7861,274.26,93,75,2.0
32,Hobart,AU,2021-03-26 03:40:20,-42.8794,147.3294,294.82,37,0,5.14
33,Hilo,US,2021-03-26 03:41:08,19.7297,-155.09,299.15,65,90,5.14
34,Severo-Kurilsk,RU,2021-03-26 03:43:12,50.6789,156.125,272.04,75,100,3.59
35,Airai,TL,2021-03-26 03:43:12,-8.9266,125.4092,296.56,66,94,1.23
36,Saint-Philippe,RE,2021-03-26 03:43:13,-21.3585,55.7679,299.15,73,0,2.06
37,Mopipi,BW,2021-03-26 03:43:13,-21.1833,24.8833,293.05,79,2,2.61
38,East London,ZA,2021-03-26 03:38:16,-33.0153,27.9116,291.15,100,40,2.57
39,Bredasdorp,ZA,2021-03-26 03:43:14,-34.5322,20.0403,289.15,94,70,2.57
40,Pisco,PE,2021-03-26 03:39:16,-13.7,-76.2167,293.15,77,0,3.6
41,Coihaique,CL,2021-03-26 03:43:14,-45.5752,-72.0662,282.15,66,40,1.54
42,Tiksi,RU,2021-03-26 03:43:15,71.6872,128.8694,261.85,79,100,6.35
43,Hualmay,PE,2021-03-26 03:43:15,-11.0964,-77.6139,294.29,81,93,3.91
44,Shingu,JP,2021-03-26 03:43:16,33.7333,135.9833,291.15,45,20,10.8
45,Zhezkazgan,KZ,2021-03-26 03:43:17,47.8043,67.7144,273.47,94,100,6.53
46,Sept-Iles,CA,2021-03-26 03:41:02,50.2001,-66.3821,273.71,100,90,1.71
47,Eagle,US,2021-03-26 03:43:18,43.6954,-116.354,280.15,61,90,5.14
48,Port Alfred,ZA,2021-03-26 03:43:18,-33.5906,26.891,292.8,86,24,7.42
49,Port Elizabeth,ZA,2021-03-26 03:43:19,-33.918,25.5701,292.15,88,0,4.63
50,Orlovskiy,RU,2021-03-26 03:43:19,46.8714,42.0592,273.29,99,100,4.99
51,Dunnville,CA,2021-03-26 03:43:20,42.9001,-79.6163,286.15,71,100,2.06
52,Atuona,PF,2021-03-26 03:43:20,-9.8,-139.0333,300.41,75,33,9.73
53,Norman Wells,CA,2021-03-26 03:43:21,65.282,-126.8329,269.15,42,75,2.06
54,Carnarvon,AU,2021-03-26 03:43:21,-24.8667,113.6333,302.15,32,97,3.6
55,Bethel,US,2021-03-26 03:39:11,41.3712,-73.414,288.15,88,75,3.09
56,Vaini,TO,2021-03-26 03:43:22,-21.2,-175.2,300.15,78,75,5.66
57,Tonekabon,IR,2021-03-26 03:43:22,36.8163,50.8738,283.15,93,90,1.03
58,Namibe,AO,2021-03-26 03:43:23,-15.1961,12.1522,295.48,86,100,2.4
59,Kutina,HR,2021-03-26 03:43:23,45.475,16.7819,272.15,93,14,1.35
60,Magadan,RU,2021-03-26 03:43:23,59.5667,150.8,258.95,72,36,1.61
61,Grand Gaube,MU,2021-03-26 03:43:24,-20.0064,57.6608,297.59,92,77,1.34
62,Port Hardy,CA,2021-03-26 03:39:19,50.6996,-127.4199,280.15,75,40,3.09
63,Luwuk,ID,2021-03-26 03:43:26,-0.9516,122.7875,303.43,71,100,0.82
64,El Alto,PE,2021-03-26 03:42:39,-4.2714,-81.2147,295.35,73,59,4.11
65,Kismayo,SO,2021-03-26 03:43:26,-0.3582,42.5454,300.01,73,45,4.84
66,Tilichiki,RU,2021-03-26 03:43:27,60.4667,166.1,262.34,78,100,6.47
67,Iqaluit,CA,2021-03-26 03:40:10,63.7506,-68.5145,241.15,62,1,6.17
68,Geraldton,AU,2021-03-26 03:39:37,-28.7667,114.6,298.15,38,2,5.14
69,Mar Del Plata,AR,2021-03-26 03:43:28,-38.0023,-57.5575,291.48,100,90,5.66
70,Puerto Ayora,EC,2021-03-26 03:43:28,-0.7393,-90.3518,297.59,93,53,0.89
71,Bulungu,CD,2021-03-26 03:43:29,-4.55,18.6,293.16,97,100,0.56
72,Sibolga,ID,2021-03-26 03:43:29,1.7427,98.7792,301.11,77,88,1.32
73,Castro,BR,2021-03-26 03:43:30,-24.7911,-50.0119,290.05,95,96,1.17
74,Chumikan,RU,2021-03-26 03:43:30,54.7183,135.315,270.87,71,21,4.11
75,Hervey Bay,AU,2021-03-26 03:43:30,-25.2986,152.8535,303.71,45,0,4.12
76,Kyzyl-Suu,KG,2021-03-26 03:43:31,42.3414,78.0056,282.6,48,100,0.46
77,Tuatapere,NZ,2021-03-26 03:43:32,-46.1333,167.6833,290.93,78,100,3.13
78,Cape Town,ZA,2021-03-26 03:39:02,-33.9258,18.4232,293.15,77,75,6.17
79,Whitehorse,CA,2021-03-26 03:41:44,60.7161,-135.0538,273.15,64,40,4.63
80,Upernavik,GL,2021-03-26 03:43:32,72.7868,-56.1549,239.71,85,27,2.36
81,Moerai,PF,2021-03-26 03:43:33,-22.4333,-151.3333,300.2,79,43,8.35
82,Shima,CN,2021-03-26 03:43:34,24.4478,117.8111,295.15,56,20,2.0
83,Vostok,RU,2021-03-26 03:43:34,46.4856,135.8833,275.93,68,12,2.33
84,Bassar,TG,2021-03-26 03:43:35,9.25,0.7833,298.15,94,0,1.03
85,Arraial Do Cabo,BR,2021-03-26 03:43:36,-22.9661,-42.0278,297.34,86,3,2.07
86,Betanzos,ES,2021-03-26 03:43:36,43.2804,-8.2147,281.15,81,75,2.57
87,Montalvo,EC,2021-03-26 03:43:36,-1.8,-79.3333,299.26,80,98,0.53
88,Georgetown,MY,2021-03-26 03:41:27,5.4112,100.3354,303.71,79,20,1.11
89,Bambous Virieux,MU,2021-03-26 03:43:37,-20.3428,57.7575,297.59,94,75,0.75
90,Rocha,UY,2021-03-26 03:43:38,-34.4833,-54.3333,293.15,96,100,4.45
91,Westport,US,2021-03-26 03:43:39,41.1415,-73.3579,285.93,100,90,2.57
92,Hermanus,ZA,2021-03-26 03:43:40,-34.4187,19.2345,289.82,92,72,2.58
93,Chokurdakh,RU,2021-03-26 03:43:40,70.6333,147.9167,248.45,92,83,1.59
94,Gornyy,RU,2021-03-26 03:43:40,55.1153,83.9059,269.82,80,96,0.89
95,Ponta Do Sol,PT,2021-03-26 03:43:41,32.6667,-17.1,292.15,63,40,6.69
96,Yulara,AU,2021-03-26 03:43:42,-25.2406,130.9889,306.15,29,40,2.06
97,Piacabucu,BR,2021-03-26 03:43:42,-10.4056,-36.4344,298.19,81,76,3.14
98,Ushibuka,JP,2021-03-26 03:43:42,32.1906,130.0228,290.1,48,6,2.48
99,Stornoway,GB,2021-03-26 03:43:44,58.2093,-6.3865,277.15,93,90,4.12
100,Broken Hill,AU,2021-03-26 03:43:45,-31.95,141.4333,295.15,33,100,6.69
101,Alta,NO,2021-03-26 03:43:45,69.9689,23.2717,267.15,79,23,3.09
102,Tayoltita,MX,2021-03-26 03:43:45,24.0833,-105.9333,285.81,36,0,1.88
103,Gizo,SB,2021-03-26 03:43:46,-8.103,156.8419,301.89,73,70,2.15
104,Marapanim,BR,2021-03-26 03:43:47,-0.7175,-47.6997,295.47,96,100,0.77
105,Port Lincoln,AU,2021-03-26 03:43:47,-34.7333,135.8667,294.27,53,20,6.57
106,Aklavik,CA,2021-03-26 03:38:53,68.2191,-135.0107,267.15,49,99,1.03
107,Kodiak,US,2021-03-26 03:42:42,57.79,-152.4072,279.15,56,90,5.14
108,Makaha,US,2021-03-26 03:43:48,21.4694,-158.2175,300.15,83,90,3.17
109,Samarai,PG,2021-03-26 03:43:49,-10.6167,150.6667,302.74,70,30,6.34
110,Hasaki,JP,2021-03-26 03:43:49,35.7333,140.8333,293.15,34,20,2.06
111,Straumen,NO,2021-03-26 03:43:49,63.8709,11.2999,274.15,86,0,3.09
112,Busselton,AU,2021-03-26 03:43:50,-33.65,115.3333,295.93,53,8,1.79
113,Talcahuano,CL,2021-03-26 03:43:51,-36.7167,-73.1167,284.15,82,0,2.57
114,Kapaa,US,2021-03-26 03:43:51,22.0752,-159.319,295.15,94,90,4.63
115,Victoria,HK,2021-03-26 03:39:51,22.2855,114.1577,297.59,76,50,0.45
116,Shubarkuduk,KZ,2021-03-26 03:43:51,49.1447,56.4872,272.2,95,100,4.85
117,Bengkulu,ID,2021-03-26 03:43:52,-3.8004,102.2655,302.64,64,93,2.24
118,Koutsouras,GR,2021-03-26 03:43:53,35.0339,25.9469,281.48,52,16,7.91
119,New Norfolk,AU,2021-03-26 03:43:53,-42.7826,147.0587,294.82,46,100,2.68
120,Crossville,US,2021-03-26 03:43:53,35.949,-85.0269,292.04,94,75,4.12
121,Bafq,IR,2021-03-26 03:43:54,31.6128,55.4107,297.42,18,0,4.82
122,Quesnel,CA,2021-03-26 03:43:54,52.9999,-122.5029,274.15,75,1,1.34
123,Touros,BR,2021-03-26 03:43:55,-5.1989,-35.4608,297.15,94,75,2.06
124,Katsuura,JP,2021-03-26 03:43:55,35.1333,140.3,293.15,34,20,4.63
125,Barrow,US,2021-03-26 03:41:47,71.2906,-156.7887,253.15,65,1,4.63
126,Strezhevoy,RU,2021-03-26 03:43:56,60.7333,77.5889,270.15,86,90,6.0
127,Khor,RU,2021-03-26 03:44:01,47.8861,134.9464,275.32,59,5,2.26
128,Torbay,CA,2021-03-26 03:44:05,47.6666,-52.7314,279.26,100,90,4.63
129,Paine,CL,2021-03-26 03:44:05,-33.8167,-70.75,288.15,67,0,3.6
130,Bluff,NZ,2021-03-26 03:44:06,-46.6,168.3333,290.93,78,100,3.13
131,Lata,PT,2021-03-26 03:39:39,40.1629,-8.3327,283.15,92,99,0.88
132,Salalah,OM,2021-03-26 03:44:09,17.0151,54.0924,295.15,68,0,1.54
133,Lipari,IT,2021-03-26 03:44:12,38.4674,14.954,283.15,68,9,2.24
134,Hamilton,US,2021-03-26 03:44:16,39.1834,-84.5333,291.48,82,75,6.17
135,Hambantota,LK,2021-03-26 03:44:18,6.1241,81.1185,302.15,84,20,5.66
136,Trapani,IT,2021-03-26 03:44:19,37.8333,12.6667,284.82,93,0,3.09
137,Vestmannaeyjar,IS,2021-03-26 03:44:20,63.4427,-20.2734,271.57,84,100,9.56
138,Maldonado,UY,2021-03-26 03:44:21,-34.6667,-54.9167,294.15,88,90,1.54
139,Faanui,PF,2021-03-26 03:44:23,-16.4833,-151.75,301.6,74,30,9.74
140,Hamada,JP,2021-03-26 03:44:24,34.8833,132.0833,290.15,55,20,3.09
141,Tuktoyaktuk,CA,2021-03-26 03:44:25,69.4541,-133.0374,258.15,85,75,1.54
142,Wanaka,NZ,2021-03-26 03:44:25,-44.7,169.15,292.11,52,69,4.4
143,Cabo San Lucas,MX,2021-03-26 03:43:24,22.8909,-109.9124,290.37,82,1,7.72
144,Guerrero Negro,MX,2021-03-26 03:44:25,27.9769,-114.0611,287.15,79,2,3.71
145,Urucara,BR,2021-03-26 03:44:26,-2.5364,-57.76,295.59,98,98,0.71
146,Araouane,ML,2021-03-26 03:44:27,18.9048,-3.5265,290.63,10,0,5.46
147,Esperance,AU,2021-03-26 03:44:27,-33.8667,121.9,294.15,52,75,2.06
148,Dezhou,CN,2021-03-26 03:44:27,37.4486,116.2925,290.75,51,100,6.15
149,Chuy,UY,2021-03-26 03:44:28,-33.6971,-53.4616,294.32,96,100,5.51
150,Shahreza,IR,2021-03-26 03:44:29,32.0339,51.8794,289.65,38,2,11.83
151,Ancud,CL,2021-03-26 03:44:30,-41.8697,-73.8203,283.15,75,0,3.13
152,Tamiahua,MX,2021-03-26 03:44:30,21.2667,-97.45,294.86,86,100,3.88
153,Grindavik,IS,2021-03-26 03:44:30,63.8424,-22.4338,269.15,80,75,11.32
154,Rudnogorsk,RU,2021-03-26 03:44:31,57.2639,103.7519,270.38,81,100,1.67
155,Hithadhoo,MV,2021-03-26 03:44:32,-0.6,73.0833,301.74,69,88,2.69
156,Esna,EG,2021-03-26 03:44:32,25.2934,32.554,286.15,47,0,3.09
157,Pangnirtung,CA,2021-03-26 03:44:32,66.1451,-65.7125,238.63,79,8,2.35
158,Manicore,BR,2021-03-26 03:44:33,-5.8092,-61.3003,295.29,99,99,1.07
159,Flin Flon,CA,2021-03-26 03:44:34,54.7682,-101.865,268.93,97,100,1.67
160,Narsaq,GL,2021-03-26 03:44:35,60.9167,-46.05,259.15,30,19,5.14
161,Paamiut,GL,2021-03-26 03:44:35,61.994,-49.6678,255.98,80,100,5.24
162,Komsomolskoye,RU,2021-03-26 03:44:35,55.2567,47.5461,272.97,95,100,1.02
163,Kahului,US,2021-03-26 03:44:36,20.8947,-156.47,301.15,65,40,4.12
164,Mogadishu,SO,2021-03-26 03:44:37,2.0371,45.3438,299.46,70,30,7.15
165,Opuwo,NA,2021-03-26 03:44:37,-18.0607,13.84,292.16,86,100,1.98
166,Chaihe,CN,2021-03-26 03:44:37,44.7667,129.7,279.57,66,100,2.54
167,Thompson,CA,2021-03-26 03:44:38,55.7435,-97.8558,265.15,73,90,3.09
168,Isangel,VU,2021-03-26 03:44:39,-19.55,169.2667,302.15,61,20,3.09
169,Jurm,AF,2021-03-26 03:44:39,36.8648,70.8342,286.57,67,100,2.97
170,Nioro,GM,2021-03-26 03:44:39,13.35,-15.75,297.17,44,1,1.83
171,Nanortalik,GL,2021-03-26 03:44:40,60.1432,-45.2371,261.53,58,72,5.83
172,Anadyr,RU,2021-03-26 03:44:41,64.75,177.4833,261.15,72,75,8.0
173,Sorland,NO,2021-03-26 03:44:41,67.667,12.6934,277.98,82,78,11.37
174,Hope,US,2021-03-26 03:43:27,33.6671,-93.5916,287.04,69,0,2.29
175,Portland,US,2021-03-26 03:44:00,45.5234,-122.6762,282.59,75,71,0.45
176,Awbari,LY,2021-03-26 03:42:19,26.5921,12.7805,283.36,42,0,3.06
177,Mahebourg,MU,2021-03-26 03:44:42,-20.4081,57.7,297.15,94,75,0.78
178,Port Augusta,AU,2021-03-26 03:44:43,-32.5,137.7667,294.15,64,90,6.17
179,Leh,IN,2021-03-26 03:44:43,34.1667,77.5833,272.07,46,9,0.72
180,San Cristobal,VE,2021-03-26 03:44:43,7.7669,-72.225,292.13,93,100,0.69
181,Taltal,CL,2021-03-26 03:44:44,-25.4,-70.4833,292.44,75,0,2.09
182,Tucurui,BR,2021-03-26 03:44:46,-3.7661,-49.6725,294.78,98,100,1.04
183,Ariogala,LT,2021-03-26 03:44:46,55.2667,23.4667,274.15,86,75,1.54
184,Doha,QA,2021-03-26 03:44:46,25.2867,51.5333,300.15,54,0,4.63
185,Saint George,US,2021-03-26 03:44:47,37.1041,-113.5841,286.48,22,90,4.12
186,Clyde River,CA,2021-03-26 03:44:49,70.4692,-68.5914,245.15,76,1,5.66
187,Menongue,AO,2021-03-26 03:44:49,-14.6585,17.691,289.45,98,100,2.09
188,Sur,OM,2021-03-26 03:44:49,22.5667,59.5289,299.69,47,10,1.68
189,Lake City,US,2021-03-26 03:44:50,30.1897,-82.6393,295.15,94,1,1.9
190,Karratha,AU,2021-03-26 03:44:52,-20.7377,116.8463,305.09,44,17,4.75
191,Codrington,AU,2021-03-26 03:44:52,-38.2667,141.9667,293.51,44,99,6.32
192,Bairiki,KI,2021-03-26 03:44:52,1.3292,172.9752,302.15,74,75,4.12
193,Caucaia,BR,2021-03-26 03:43:10,-3.7361,-38.6531,297.59,100,90,4.12
194,Petropavlovsk-Kamchatskiy,RU,2021-03-26 03:40:07,53.0452,158.6483,272.15,47,31,2.0
195,Beringovskiy,RU,2021-03-26 03:44:54,63.05,179.3167,262.34,88,100,1.71
196,Wladyslawowo,PL,2021-03-26 03:44:54,54.7909,18.4009,274.26,93,90,1.03
197,Luganville,VU,2021-03-26 03:44:54,-15.5333,167.1667,300.97,81,52,4.34
198,Baykit,RU,2021-03-26 03:44:55,61.67,96.37,269.46,88,100,2.15
199,Georgiyevskoye,RU,2021-03-26 03:44:57,58.731,45.024,273.56,96,100,2.32
200,Narasapur,IN,2021-03-26 03:44:57,16.45,81.6667,305.99,40,68,1.71
201,Sault Sainte Marie,CA,2021-03-26 03:43:26,46.5168,-84.3333,272.15,74,75,2.57
202,Nikolsk,RU,2021-03-26 03:44:57,53.7189,46.0712,270.97,97,100,2.51
203,Quatre Cocos,MU,2021-03-26 03:44:58,-20.2078,57.7625,297.59,94,75,0.67
204,Barguzin,RU,2021-03-26 03:44:58,53.6167,109.6167,272.48,81,85,3.61
205,Zhanakorgan,KZ,2021-03-26 03:44:59,43.9098,67.2495,289.43,71,78,6.73
206,Saint-Joseph,RE,2021-03-26 03:45:01,-21.3667,55.6167,299.15,73,0,2.06
207,Caluquembe,AO,2021-03-26 03:45:01,-13.7833,14.6833,288.0,98,100,1.11
208,Teguldet,RU,2021-03-26 03:45:01,57.3064,88.1667,272.44,88,98,1.9
209,Wyndham,US,2021-03-26 03:45:02,37.6985,-77.6125,293.15,82,1,4.12
210,Fuerte Olimpo,PY,2021-03-26 03:45:03,-21.0415,-57.8738,298.23,57,1,2.05
211,Barentu,ER,2021-03-26 03:45:04,15.1139,37.5928,294.56,52,81,2.28
212,Lagunas,PE,2021-03-26 03:45:05,-5.2269,-75.6753,296.24,93,99,0.49
213,Biak,ID,2021-03-26 03:45:05,-0.9131,122.8766,301.91,70,100,0.59
214,Nome,US,2021-03-26 03:45:05,64.5011,-165.4064,262.15,67,1,3.09
215,Marzuq,YE,2021-03-26 03:45:06,14.4,46.4667,293.19,15,12,2.35
216,San Vicente,AR,2021-03-26 03:41:32,-26.6167,-54.1333,292.32,88,15,1.22
217,Mehamn,NO,2021-03-26 03:45:08,71.0357,27.8492,269.64,80,78,6.16
218,Senneterre,CA,2021-03-26 03:45:08,48.3835,-77.2328,271.15,100,90,6.17
219,Herat,AF,2021-03-26 03:45:08,34.5,62.0,300.15,14,56,7.72
220,Cascais,PT,2021-03-26 03:45:09,38.6979,-9.4215,284.82,76,97,6.26
221,Bayan,CN,2021-03-26 03:45:10,46.0833,127.4,280.42,63,100,4.39
222,Noumea,NC,2021-03-26 03:45:10,-22.2763,166.4572,304.82,66,75,4.63
223,Bardiyah,LY,2021-03-26 03:45:10,31.7561,25.0865,284.23,73,83,4.47
224,Beidao,CN,2021-03-26 03:45:11,34.5686,105.8933,288.85,29,100,5.05
225,Provideniya,RU,2021-03-26 03:45:12,64.3833,-173.3,258.15,72,75,7.0
226,Mocuba,MZ,2021-03-26 03:45:12,-16.8392,36.9856,292.76,97,7,1.19
227,Kaitangata,NZ,2021-03-26 03:45:12,-46.2817,169.8464,290.93,79,100,2.24
228,Namtsy,RU,2021-03-26 03:45:13,62.7161,129.6658,260.15,47,0,3.0
229,Longyearbyen,SJ,2021-03-26 03:45:14,78.2186,15.6401,264.15,67,20,3.09
230,Leningradskiy,RU,2021-03-26 03:45:15,69.3833,178.4167,248.44,95,77,0.63
231,Steamboat Springs,US,2021-03-26 03:45:16,40.485,-106.8317,272.15,100,90,1.54
232,Andilamena,MG,2021-03-26 03:45:16,-17.0167,48.5833,292.77,94,5,0.62
233,Vrani,RO,2021-03-26 03:45:16,45.0383,21.4925,269.15,86,0,1.03
234,Dunedin,NZ,2021-03-26 03:45:17,-45.8742,170.5036,290.93,75,68,2.68
235,Natchez,US,2021-03-26 03:45:18,31.5604,-91.4032,294.15,56,1,2.06
236,Nyurba,RU,2021-03-26 03:45:18,63.2842,118.3319,269.6,93,100,3.04
237,Dobryanka,RU,2021-03-26 03:43:29,58.4619,56.4165,272.15,80,0,3.0
238,Livermore,US,2021-03-26 03:43:04,37.6819,-121.768,283.15,62,1,2.57
239,Abu Dhabi,AE,2021-03-26 03:45:18,24.4667,54.3667,299.15,25,0,4.63
240,Lavrentiya,RU,2021-03-26 03:45:19,65.5833,-171.0,256.46,94,75,1.41
241,Austintown,US,2021-03-26 03:45:20,41.1017,-80.7645,289.82,77,90,4.63
242,San Carlos De Bariloche,AR,2021-03-26 03:40:26,-41.1456,-71.3082,281.15,61,0,2.57
243,Riacho De Santana,BR,2021-03-26 03:45:20,-13.6092,-42.9389,294.51,43,23,3.11
244,Tasiilaq,GL,2021-03-26 03:45:22,65.6145,-37.6368,254.15,71,96,3.59
245,Dingle,PH,2021-03-26 03:45:23,10.9995,122.6711,303.84,61,95,6.58
246,Escarcega,MX,2021-03-26 03:45:23,18.6089,-90.7454,300.23,63,2,3.36
247,Scarborough,GB,2021-03-26 03:45:10,54.2797,-0.4044,280.93,85,96,2.24
248,Sierra Vista,US,2021-03-26 03:45:24,31.5545,-110.3037,284.26,20,1,2.57
249,Cayenne,GF,2021-03-26 03:45:25,4.9333,-52.3333,299.26,83,75,2.06
250,Guantanamo,CU,2021-03-26 03:45:25,20.1444,-75.2092,299.15,69,20,3.6
251,Flagstaff,US,2021-03-26 03:43:33,35.1981,-111.6513,273.71,86,90,6.17
252,Wattegama,LK,2021-03-26 03:45:25,6.7989,81.4808,302.15,84,20,5.66
253,Novikovo,RU,2021-03-26 03:45:26,51.1537,37.8879,271.67,93,99,4.74
254,Laguna,US,2021-03-26 03:45:26,38.421,-121.4238,287.15,58,1,3.6
255,Abastumani,GE,2021-03-26 03:45:27,41.7075,42.8457,276.15,93,75,2.06
256,Mount Gambier,AU,2021-03-26 03:41:29,-37.8333,140.7667,293.15,49,90,8.75
257,Alofi,NU,2021-03-26 03:45:28,-19.0595,-169.9187,303.15,70,7,5.14
258,Shakawe,BW,2021-03-26 03:45:28,-18.3667,21.85,291.33,89,17,1.42
259,Mitu,CO,2021-03-26 03:45:28,1.1983,-70.1733,296.23,93,85,1.02
260,Haines Junction,CA,2021-03-26 03:45:30,60.7522,-137.5108,269.15,58,95,0.51
261,Pemangkat,ID,2021-03-26 03:45:30,1.1667,108.9667,300.37,74,97,3.14
262,Baker City,US,2021-03-26 03:45:31,44.7749,-117.8344,277.15,65,20,5.14
263,Bandarbeyla,SO,2021-03-26 03:45:31,9.4942,50.8122,299.32,65,47,4.26
264,Souillac,MU,2021-03-26 03:45:32,-20.5167,57.5167,297.15,94,75,0.79
265,Alice Springs,AU,2021-03-26 03:45:32,-23.7,133.8833,305.15,27,3,3.09
266,Saskylakh,RU,2021-03-26 03:45:33,71.9167,114.0833,256.4,91,83,1.38
267,Corner Brook,CA,2021-03-26 03:44:12,48.9667,-57.9484,280.15,87,90,2.57
268,Sitka,US,2021-03-26 03:45:33,57.0531,-135.33,277.15,81,90,4.12
269,Dovers,VC,2021-03-26 03:45:35,12.8833,-61.1833,298.68,74,12,9.22
270,Jackson,US,2021-03-26 03:44:02,42.4165,-122.8345,281.15,61,40,5.14
271,Dobryatino,RU,2021-03-26 03:45:36,55.5055,41.3195,273.08,95,100,0.88
